A		SACRAMENTO
B		DEER_CR_NR_SMARTVILLE
C		FLOW-UNREG
E		
F		ALT-AUGMENTED-MERGED
Units		CFS
Type		PER-AVER
4731	14Sep1904	25.4
4732	15Sep1904	25.4
4733	16Sep1904	25.4
4734	17Sep1904	25.4
4735	18Sep1904	25.4
4736	19Sep1904	25.4
4737	20Sep1904	25.4
4738	21Sep1904	25.4
4739	22Sep1904	25.4
4740	23Sep1904	93.5
4741	24Sep1904	132.8
4742	25Sep1904	132.8
4743	26Sep1904	92.9
4744	27Sep1904	73.0
4745	28Sep1904	57.0
4746	29Sep1904	53.6
4747	30Sep1904	47.3
4748	01Oct1904	47.3
4749	02Oct1904	47.3
4750	03Oct1904	44.5
4751	04Oct1904	44.5
4752	05Oct1904	44.5
4753	06Oct1904	44.5
4754	07Oct1904	50.2
4755	08Oct1904	68.4
4756	09Oct1904	167.0
4757	10Oct1904	210.9
4758	11Oct1904	906.3
4759	12Oct1904	252.5
4760	13Oct1904	127.1
4761	14Oct1904	102.0
4762	15Oct1904	114.0
4763	16Oct1904	102.0
4764	17Oct1904	86.1
4765	18Oct1904	76.9
4766	19Oct1904	72.4
4767	20Oct1904	68.4
4768	21Oct1904	63.8
4769	22Oct1904	63.8
4770	23Oct1904	63.8
4771	24Oct1904	59.8
4772	25Oct1904	57.6
4773	26Oct1904	55.3
4774	27Oct1904	55.3
4775	28Oct1904	55.3
4776	29Oct1904	55.3
4777	30Oct1904	62.7
4778	31Oct1904	58.7
4779	01Nov1904	62.7
4780	02Nov1904	78.7
4781	03Nov1904	63.8
4782	04Nov1904	54.2
4783	05Nov1904	54.2
4784	06Nov1904	50.7
4785	07Nov1904	50.7
4786	08Nov1904	50.7
4787	09Nov1904	50.7
4788	10Nov1904	47.9
4789	11Nov1904	47.9
4790	12Nov1904	45.0
4791	13Nov1904	45.0
4792	14Nov1904	45.0
4793	15Nov1904	85.5
4794	16Nov1904	70.1
4795	17Nov1904	59.3
4796	18Nov1904	59.3
4797	19Nov1904	62.7
4798	20Nov1904	59.3
4799	21Nov1904	59.3
4800	22Nov1904	60.4
4801	23Nov1904	57.6
4802	24Nov1904	58.1
4803	25Nov1904	58.7
4804	26Nov1904	55.3
4805	27Nov1904	70.1
4806	28Nov1904	88.3
4807	29Nov1904	74.1
4808	30Nov1904	111.2
4809	01Dec1904	104.9
4810	02Dec1904	83.2
4811	03Dec1904	78.7
4812	04Dec1904	74.1
4813	05Dec1904	70.1
4814	06Dec1904	70.1
4815	07Dec1904	66.1
4816	08Dec1904	66.1
4817	09Dec1904	70.1
4818	10Dec1904	78.7
4819	11Dec1904	70.1
4820	12Dec1904	70.1
4821	13Dec1904	78.7
4822	14Dec1904	74.1
4823	15Dec1904	70.1
4824	16Dec1904	70.1
4825	17Dec1904	66.1
4826	18Dec1904	66.1
4827	19Dec1904	66.1
4828	20Dec1904	66.1
4829	21Dec1904	62.1
4830	22Dec1904	62.1
4831	23Dec1904	66.1
4832	24Dec1904	178.4
4833	25Dec1904	104.9
4834	26Dec1904	88.3
4835	27Dec1904	78.7
4836	28Dec1904	74.1
4837	29Dec1904	74.1
4838	30Dec1904	1020.3
4839	31Dec1904	889.2
4840	01Jan1905	484.5
4841	02Jan1905	399.0
4842	03Jan1905	291.8
4843	04Jan1905	245.1
4844	05Jan1905	213.8
4845	06Jan1905	203.5
4846	07Jan1905	166.4
4847	08Jan1905	166.4
4848	09Jan1905	157.9
4849	10Jan1905	149.9
4850	11Jan1905	143.1
4851	12Jan1905	143.1
4852	13Jan1905	143.1
4853	14Jan1905	370.5
4854	15Jan1905	305.0
4855	16Jan1905	256.5
4856	17Jan1905	219.4
4857	18Jan1905	162.4
4858	19Jan1905	180.1
4859	20Jan1905	199.5
4860	21Jan1905	287.3
4861	22Jan1905	729.6
4862	23Jan1905	661.2
4863	24Jan1905	485.6
4864	25Jan1905	384.8
4865	26Jan1905	330.6
4866	27Jan1905	282.1
4867	28Jan1905	247.9
4868	29Jan1905	228.0
4869	30Jan1905	217.7
4870	31Jan1905	208.1
4871	01Feb1905	296.4
4872	02Feb1905	570.0
4873	03Feb1905	436.0
4874	04Feb1905	350.5
4875	05Feb1905	437.8
4876	06Feb1905	313.5
4877	07Feb1905	266.2
4878	08Feb1905	245.7
4879	09Feb1905	225.1
4880	10Feb1905	205.2
4881	11Feb1905	208.1
4882	12Feb1905	179.6
4883	13Feb1905	166.4
4884	14Feb1905	158.5
4885	15Feb1905	158.5
4886	16Feb1905	156.8
4887	17Feb1905	259.4
4888	18Feb1905	265.0
4889	19Feb1905	256.5
4890	20Feb1905	478.8
4891	21Feb1905	330.6
4892	22Feb1905	299.2
4893	23Feb1905	280.4
4894	24Feb1905	273.6
4895	25Feb1905	288.4
4896	26Feb1905	307.8
4897	27Feb1905	293.5
4898	28Feb1905	282.1
4899	01Mar1905	270.8
4900	02Mar1905	270.8
4901	03Mar1905	259.4
4902	04Mar1905	270.8
4903	05Mar1905	257.1
4904	06Mar1905	257.1
4905	07Mar1905	254.2
4906	08Mar1905	254.2
4907	09Mar1905	250.8
4908	10Mar1905	265.0
4909	11Mar1905	250.8
4910	12Mar1905	267.9
4911	13Mar1905	381.9
4912	14Mar1905	447.5
4913	15Mar1905	336.9
4914	16Mar1905	325.5
4915	17Mar1905	308.9
4916	18Mar1905	387.6
4917	19Mar1905	991.8
4918	20Mar1905	587.1
4919	21Mar1905	672.6
4920	22Mar1905	552.9
4921	23Mar1905	476.0
4922	24Mar1905	541.5
4923	25Mar1905	495.9
4924	26Mar1905	507.3
4925	27Mar1905	495.9
4926	28Mar1905	444.6
4927	29Mar1905	554.0
4928	30Mar1905	501.6
4929	31Mar1905	419.0
4930	01Apr1905	383.6
4931	02Apr1905	383.6
4932	03Apr1905	402.4
4933	04Apr1905	402.4
4934	05Apr1905	390.5
4935	06Apr1905	408.1
4936	07Apr1905	433.2
4937	08Apr1905	396.7
4938	09Apr1905	384.8
4939	10Apr1905	393.3
4940	11Apr1905	351.1
4941	12Apr1905	328.9
4942	13Apr1905	336.3
4943	14Apr1905	324.9
4944	15Apr1905	330.6
4945	16Apr1905	352.8
4946	17Apr1905	314.6
4947	18Apr1905	456.0
4948	19Apr1905	353.4
4949	20Apr1905	320.3
4950	21Apr1905	326.0
4951	22Apr1905	326.0
4952	23Apr1905	343.7
4953	24Apr1905	365.9
4954	25Apr1905	402.4
4955	26Apr1905	451.4
4956	27Apr1905	501.6
4957	28Apr1905	464.0
4958	29Apr1905	451.4
4959	30Apr1905	464.0
4960	01May1905	389.9
4961	02May1905	367.1
4962	03May1905	344.3
4963	04May1905	311.8
4964	05May1905	301.0
4965	06May1905	301.0
4966	07May1905	290.7
4967	08May1905	333.5
4968	09May1905	355.7
4969	10May1905	301.0
4970	11May1905	301.0
4971	12May1905	280.4
4972	13May1905	280.4
4973	14May1905	311.8
4974	15May1905	344.3
4975	16May1905	438.9
4976	17May1905	451.4
4977	18May1905	438.9
4978	19May1905	438.9
4979	20May1905	426.4
4980	21May1905	451.4
4981	22May1905	367.1
4982	23May1905	355.7
4983	24May1905	333.5
4984	25May1905	355.7
4985	26May1905	389.9
4986	27May1905	311.8
4987	28May1905	301.0
4988	29May1905	290.7
4989	30May1905	280.4
4990	31May1905	280.4
4991	01Jun1905	280.4
4992	02Jun1905	250.8
4993	03Jun1905	240.5
4994	04Jun1905	231.4
4995	05Jun1905	213.2
4996	06Jun1905	222.3
4997	07Jun1905	231.4
4998	08Jun1905	222.3
4999	09Jun1905	222.3
5000	10Jun1905	222.3
5001	11Jun1905	250.8
5002	12Jun1905	231.4
5003	13Jun1905	231.4
5004	14Jun1905	205.2
5005	15Jun1905	205.2
5006	16Jun1905	188.1
5007	17Jun1905	188.1
5008	18Jun1905	172.1
5009	19Jun1905	164.2
5010	20Jun1905	149.3
5011	21Jun1905	135.7
5012	22Jun1905	122.0
5013	23Jun1905	110.0
5014	24Jun1905	103.7
5015	25Jun1905	98.0
5016	26Jun1905	92.3
5017	27Jun1905	86.6
5018	28Jun1905	80.9
5019	29Jun1905	75.2
5020	30Jun1905	75.2
5021	01Jul1905	70.7
5022	02Jul1905	70.7
5023	03Jul1905	65.0
5024	04Jul1905	60.4
5025	05Jul1905	60.4
5026	06Jul1905	55.9
5027	07Jul1905	55.9
5028	08Jul1905	51.6
5029	09Jul1905	51.6
5030	10Jul1905	47.6
5031	11Jul1905	47.6
5032	12Jul1905	47.6
5033	13Jul1905	43.9
5034	14Jul1905	43.9
5035	15Jul1905	43.9
5036	16Jul1905	43.9
5037	17Jul1905	40.5
5038	18Jul1905	40.5
5039	19Jul1905	40.5
5040	20Jul1905	40.5
5041	21Jul1905	37.0
5042	22Jul1905	37.0
5043	23Jul1905	34.2
5044	24Jul1905	34.2
5045	25Jul1905	34.2
5046	26Jul1905	31.6
5047	27Jul1905	31.6
5048	28Jul1905	31.6
5049	29Jul1905	29.4
5050	30Jul1905	29.4
5051	31Jul1905	29.4
5052	01Aug1905	29.4
5053	02Aug1905	29.4
5054	03Aug1905	29.4
5055	04Aug1905	29.4
5056	05Aug1905	29.4
5057	06Aug1905	29.4
5058	07Aug1905	27.4
5059	08Aug1905	27.4
5060	09Aug1905	27.4
5061	10Aug1905	27.4
5062	11Aug1905	27.4
5063	12Aug1905	27.4
5064	13Aug1905	27.4
5065	14Aug1905	27.4
5066	15Aug1905	25.9
5067	16Aug1905	25.9
5068	17Aug1905	25.9
5069	18Aug1905	25.9
5070	19Aug1905	25.9
5071	20Aug1905	25.9
5072	21Aug1905	25.9
5073	22Aug1905	27.4
5074	23Aug1905	25.9
5075	24Aug1905	25.9
5076	25Aug1905	25.9
5077	26Aug1905	25.9
5078	27Aug1905	25.9
5079	28Aug1905	24.8
5080	29Aug1905	24.8
5081	30Aug1905	24.8
5082	31Aug1905	24.8
5083	01Sep1905	24.8
5084	02Sep1905	24.8
5085	03Sep1905	24.8
5086	04Sep1905	24.8
5087	05Sep1905	24.8
5088	06Sep1905	24.8
5089	07Sep1905	24.8
5090	08Sep1905	24.8
5091	09Sep1905	24.8
5092	10Sep1905	24.8
5093	11Sep1905	24.8
5094	12Sep1905	23.7
5095	13Sep1905	23.7
5096	14Sep1905	23.7
5097	15Sep1905	23.7
5098	16Sep1905	23.7
5099	17Sep1905	23.7
5100	18Sep1905	23.7
5101	19Sep1905	23.7
5102	20Sep1905	23.7
5103	21Sep1905	23.7
5104	22Sep1905	23.7
5105	23Sep1905	23.7
5106	24Sep1905	23.7
5107	25Sep1905	23.7
5108	26Sep1905	23.7
5109	27Sep1905	27.4
5110	28Sep1905	27.4
5111	29Sep1905	25.9
5112	30Sep1905	25.9
5113	01Oct1905	25.9
5114	02Oct1905	25.9
5115	03Oct1905	25.9
5116	04Oct1905	25.9
5117	05Oct1905	25.9
5118	06Oct1905	24.8
5119	07Oct1905	24.8
5120	08Oct1905	25.9
5121	09Oct1905	25.9
5122	10Oct1905	25.9
5123	11Oct1905	25.9
5124	12Oct1905	25.9
5125	13Oct1905	25.9
5126	14Oct1905	25.9
5127	15Oct1905	24.8
5128	16Oct1905	24.8
5129	17Oct1905	24.8
5130	18Oct1905	25.9
5131	19Oct1905	25.9
5132	20Oct1905	25.9
5133	21Oct1905	25.9
5134	22Oct1905	25.9
5135	23Oct1905	25.9
5136	24Oct1905	25.9
5137	25Oct1905	25.9
5138	26Oct1905	27.4
5139	27Oct1905	25.9
5140	28Oct1905	25.9
5141	29Oct1905	25.9
5142	30Oct1905	25.9
5143	31Oct1905	25.9
5144	01Nov1905	25.9
5145	02Nov1905	25.9
5146	03Nov1905	25.9
5147	04Nov1905	25.9
5148	05Nov1905	25.9
5149	06Nov1905	25.9
5150	07Nov1905	25.9
5151	08Nov1905	24.8
5152	09Nov1905	24.8
5153	10Nov1905	24.8
5154	11Nov1905	24.8
5155	12Nov1905	24.8
5156	13Nov1905	24.8
5157	14Nov1905	24.8
5158	15Nov1905	24.8
5159	16Nov1905	23.7
5160	17Nov1905	23.7
5161	18Nov1905	23.7
5162	19Nov1905	24.8
5163	20Nov1905	27.4
5164	21Nov1905	29.4
5165	22Nov1905	25.9
5166	23Nov1905	25.9
5167	24Nov1905	24.8
5168	25Nov1905	25.9
5169	26Nov1905	29.4
5170	27Nov1905	34.2
5171	28Nov1905	29.4
5172	29Nov1905	34.2
5173	30Nov1905	47.6
5174	01Dec1905	40.5
5175	02Dec1905	31.6
5176	03Dec1905	31.6
5177	04Dec1905	31.6
5178	05Dec1905	29.4
5179	06Dec1905	29.4
5180	07Dec1905	29.4
5181	08Dec1905	29.4
5182	09Dec1905	27.4
5183	10Dec1905	27.4
5184	11Dec1905	27.4
5185	12Dec1905	27.4
5186	13Dec1905	27.4
5187	14Dec1905	27.4
5188	15Dec1905	27.4
5189	16Dec1905	29.4
5190	17Dec1905	29.4
5191	18Dec1905	40.5
5192	19Dec1905	40.5
5193	20Dec1905	55.9
5194	21Dec1905	40.5
5195	22Dec1905	34.2
5196	23Dec1905	29.4
5197	24Dec1905	29.4
5198	25Dec1905	29.4
5199	26Dec1905	29.4
5200	27Dec1905	29.4
5201	28Dec1905	34.2
5202	29Dec1905	37.0
5203	30Dec1905	34.2
5204	31Dec1905	34.2
5205	01Jan1906	34.2
5206	02Jan1906	31.6
5207	03Jan1906	31.6
5208	04Jan1906	31.6
5209	05Jan1906	31.6
5210	06Jan1906	31.6
5211	07Jan1906	31.6
5212	08Jan1906	31.6
5213	09Jan1906	29.4
5214	10Jan1906	34.2
5215	11Jan1906	34.2
5216	12Jan1906	204.6
5217	13Jan1906	963.3
5218	14Jan1906	655.5
5219	15Jan1906	1077.3
5220	16Jan1906	1077.3
5221	17Jan1906	963.3
5222	18Jan1906	2736.0
5223	19Jan1906	1881.0
5224	20Jan1906	741.0
5225	21Jan1906	513.0
5226	22Jan1906	388.2
5227	23Jan1906	316.4
5228	24Jan1906	269.6
5229	25Jan1906	216.6
5230	26Jan1906	193.8
5231	27Jan1906	183.0
5232	28Jan1906	173.3
5233	29Jan1906	163.0
5234	30Jan1906	153.9
5235	31Jan1906	144.8
5236	01Feb1906	136.2
5237	02Feb1906	136.2
5238	03Feb1906	136.2
5239	04Feb1906	128.2
5240	05Feb1906	128.2
5241	06Feb1906	128.2
5242	07Feb1906	120.8
5243	08Feb1906	120.8
5244	09Feb1906	120.8
5245	10Feb1906	144.8
5246	11Feb1906	136.2
5247	12Feb1906	128.2
5248	13Feb1906	120.8
5249	14Feb1906	128.2
5250	15Feb1906	581.4
5251	16Feb1906	269.6
5252	17Feb1906	193.8
5253	18Feb1906	228.6
5254	19Feb1906	632.7
5255	20Feb1906	316.4
5256	21Feb1906	609.9
5257	22Feb1906	388.2
5258	23Feb1906	447.5
5259	24Feb1906	447.5
5260	25Feb1906	469.1
5261	26Feb1906	388.2
5262	27Feb1906	632.7
5263	28Feb1906	513.0
5264	01Mar1906	388.2
5265	02Mar1906	316.4
5266	03Mar1906	407.5
5267	04Mar1906	369.4
5268	05Mar1906	299.8
5269	06Mar1906	269.6
5270	07Mar1906	284.4
5271	08Mar1906	284.4
5272	09Mar1906	284.4
5273	10Mar1906	299.8
5274	11Mar1906	316.4
5275	12Mar1906	1618.8
5276	13Mar1906	712.5
5277	14Mar1906	712.5
5278	15Mar1906	535.8
5279	16Mar1906	407.5
5280	17Mar1906	351.1
5281	18Mar1906	299.8
5282	19Mar1906	269.6
5283	20Mar1906	255.4
5284	21Mar1906	333.5
5285	22Mar1906	934.8
5286	23Mar1906	1048.8
5287	24Mar1906	1675.8
5288	25Mar1906	1504.8
5289	26Mar1906	1732.8
5290	27Mar1906	906.3
5291	28Mar1906	661.2
5292	29Mar1906	513.0
5293	30Mar1906	877.8
5294	31Mar1906	2314.2
5295	01Apr1906	1031.7
5296	02Apr1906	769.5
5297	03Apr1906	666.9
5298	04Apr1906	518.7
5299	05Apr1906	490.2
5300	06Apr1906	473.1
5301	07Apr1906	476.0
5302	08Apr1906	495.9
5303	09Apr1906	495.9
5304	10Apr1906	490.2
5305	11Apr1906	456.0
5306	12Apr1906	438.9
5307	13Apr1906	453.1
5308	14Apr1906	427.5
5309	15Apr1906	461.7
5310	16Apr1906	461.7
5311	17Apr1906	484.5
5312	18Apr1906	484.5
5313	19Apr1906	507.3
5314	20Apr1906	524.4
5315	21Apr1906	524.4
5316	22Apr1906	524.4
5317	23Apr1906	490.2
5318	24Apr1906	436.0
5319	25Apr1906	387.6
5320	26Apr1906	401.9
5321	27Apr1906	399.0
5322	28Apr1906	367.6
5323	29Apr1906	419.0
5324	30Apr1906	444.6
5325	01May1906	513.0
5326	02May1906	598.5
5327	03May1906	706.8
5328	04May1906	661.2
5329	05May1906	741.0
5330	06May1906	712.5
5331	07May1906	712.5
5332	08May1906	712.5
5333	09May1906	775.2
5334	10May1906	752.4
5335	11May1906	820.8
5336	12May1906	649.8
5337	13May1906	490.2
5338	14May1906	530.1
5339	15May1906	570.0
5340	16May1906	396.1
5341	17May1906	381.9
5342	18May1906	370.5
5343	19May1906	387.6
5344	20May1906	410.4
5345	21May1906	407.5
5346	22May1906	399.0
5347	23May1906	370.5
5348	24May1906	327.8
5349	25May1906	507.3
5350	26May1906	1065.9
5351	27May1906	1037.4
5352	28May1906	1145.7
5353	29May1906	780.9
5354	30May1906	570.0
5355	31May1906	501.6
5356	01Jun1906	507.3
5357	02Jun1906	533.0
5358	03Jun1906	598.5
5359	04Jun1906	1459.2
5360	05Jun1906	940.5
5361	06Jun1906	695.4
5362	07Jun1906	592.8
5363	08Jun1906	524.4
5364	09Jun1906	575.7
5365	10Jun1906	666.9
5366	11Jun1906	746.7
5367	12Jun1906	1026.0
5368	13Jun1906	666.9
5369	14Jun1906	495.9
5370	15Jun1906	501.6
5371	16Jun1906	803.7
5372	17Jun1906	538.7
5373	18Jun1906	410.4
5374	19Jun1906	666.9
5375	20Jun1906	587.1
5376	21Jun1906	478.8
5377	22Jun1906	467.4
5378	23Jun1906	461.7
5379	24Jun1906	347.7
5380	25Jun1906	342.0
5381	26Jun1906	324.9
5382	27Jun1906	307.8
5383	28Jun1906	302.1
5384	29Jun1906	285.0
5385	30Jun1906	290.7
5386	01Jul1906	296.4
5387	02Jul1906	342.0
5388	03Jul1906	376.2
5389	04Jul1906	342.0
5390	05Jul1906	330.6
5391	06Jul1906	302.1
5392	07Jul1906	285.0
5393	08Jul1906	273.6
5394	09Jul1906	259.4
5395	10Jul1906	257.6
5396	11Jul1906	212.0
5397	12Jul1906	246.2
5398	13Jul1906	234.8
5399	14Jul1906	223.4
5400	15Jul1906	178.4
5401	16Jul1906	168.1
5402	17Jul1906	158.5
5403	18Jul1906	158.5
5404	19Jul1906	139.6
5405	20Jul1906	123.1
5406	21Jul1906	115.7
5407	22Jul1906	108.3
5408	23Jul1906	108.3
5409	24Jul1906	107.2
5410	25Jul1906	100.3
5411	26Jul1906	94.1
5412	27Jul1906	87.8
5413	28Jul1906	82.1
5414	29Jul1906	76.4
5415	30Jul1906	71.2
5416	31Jul1906	66.7
5417	01Aug1906	59.3
5418	02Aug1906	52.4
5419	03Aug1906	52.4
5420	04Aug1906	49.0
5421	05Aug1906	49.0
5422	06Aug1906	49.0
5423	07Aug1906	49.0
5424	08Aug1906	45.6
5425	09Aug1906	45.6
5426	10Aug1906	45.6
5427	11Aug1906	45.6
5428	12Aug1906	42.2
5429	13Aug1906	42.2
5430	14Aug1906	42.2
5431	15Aug1906	42.2
5432	16Aug1906	42.2
5433	17Aug1906	38.8
5434	18Aug1906	38.8
5435	19Aug1906	38.8
5436	20Aug1906	38.8
5437	21Aug1906	38.8
5438	22Aug1906	38.8
5439	23Aug1906	38.8
5440	24Aug1906	38.8
5441	25Aug1906	38.8
5442	26Aug1906	35.3
5443	27Aug1906	35.3
5444	28Aug1906	35.3
5445	29Aug1906	35.3
5446	30Aug1906	35.3
5447	31Aug1906	35.3
5448	01Sep1906	35.3
5449	02Sep1906	31.9
5450	03Sep1906	31.9
5451	04Sep1906	31.9
5452	05Sep1906	31.9
5453	06Sep1906	31.9
5454	07Sep1906	31.9
5455	08Sep1906	31.9
5456	09Sep1906	28.5
5457	10Sep1906	28.5
5458	11Sep1906	28.5
5459	12Sep1906	28.5
5460	13Sep1906	28.5
5461	14Sep1906	28.5
5462	15Sep1906	31.9
5463	16Sep1906	31.9
5464	17Sep1906	28.5
5465	18Sep1906	28.5
5466	19Sep1906	28.5
5467	20Sep1906	28.5
5468	21Sep1906	28.5
5469	22Sep1906	28.5
5470	23Sep1906	28.5
5471	24Sep1906	28.5
5472	25Sep1906	28.5
5473	26Sep1906	28.5
5474	27Sep1906	28.5
5475	28Sep1906	28.5
5476	29Sep1906	28.5
5477	30Sep1906	25.1
5478	01Oct1906	25.1
5479	02Oct1906	25.1
5480	03Oct1906	25.1
5481	04Oct1906	25.1
5482	05Oct1906	25.1
5483	06Oct1906	21.7
5484	07Oct1906	21.7
5485	08Oct1906	21.7
5486	09Oct1906	21.7
5487	10Oct1906	21.7
5488	11Oct1906	21.7
5489	12Oct1906	21.7
5490	13Oct1906	21.7
5491	14Oct1906	21.7
5492	15Oct1906	21.7
5493	16Oct1906	21.7
5494	17Oct1906	25.1
5495	18Oct1906	25.1
5496	19Oct1906	25.1
5497	20Oct1906	25.1
5498	21Oct1906	25.1
5499	22Oct1906	25.1
5500	23Oct1906	25.1
5501	24Oct1906	21.7
5502	25Oct1906	21.7
5503	26Oct1906	21.7
5504	27Oct1906	21.7
5505	28Oct1906	21.7
5506	29Oct1906	21.7
5507	30Oct1906	21.7
5508	31Oct1906	21.7
5509	01Nov1906	21.7
5510	02Nov1906	25.1
5511	03Nov1906	25.1
5512	04Nov1906	285.0
5513	05Nov1906	87.8
5514	06Nov1906	59.3
5515	07Nov1906	45.6
5516	08Nov1906	38.8
5517	09Nov1906	38.8
5518	10Nov1906	29.6
5519	11Nov1906	29.6
5520	12Nov1906	29.6
5521	13Nov1906	29.6
5522	14Nov1906	29.6
5523	15Nov1906	29.6
5524	16Nov1906	42.2
5525	17Nov1906	38.8
5526	18Nov1906	29.6
5527	19Nov1906	31.9
5528	20Nov1906	31.9
5529	21Nov1906	31.9
5530	22Nov1906	31.9
5531	23Nov1906	31.9
5532	24Nov1906	31.9
5533	25Nov1906	31.9
5534	26Nov1906	31.9
5535	27Nov1906	31.9
5536	28Nov1906	31.9
5537	29Nov1906	28.5
5538	30Nov1906	31.9
5539	01Dec1906	31.9
5540	02Dec1906	31.9
5541	03Dec1906	31.9
5542	04Dec1906	31.9
5543	05Dec1906	31.9
5544	06Dec1906	31.9
5545	07Dec1906	31.9
5546	08Dec1906	107.2
5547	09Dec1906	66.7
5548	10Dec1906	107.2
5549	11Dec1906	957.6
5550	12Dec1906	333.5
5551	13Dec1906	233.7
5552	14Dec1906	176.7
5553	15Dec1906	162.4
5554	16Dec1906	153.9
5555	17Dec1906	148.2
5556	18Dec1906	142.5
5557	19Dec1906	133.9
5558	20Dec1906	133.9
5559	21Dec1906	133.9
5560	22Dec1906	133.9
5561	23Dec1906	210.9
5562	24Dec1906	210.9
5563	25Dec1906	644.1
5564	26Dec1906	1299.6
5565	27Dec1906	456.0
5566	28Dec1906	342.0
5567	29Dec1906	245.1
5568	30Dec1906	302.1
5569	31Dec1906	302.1
5570	01Jan1907	233.7
5571	02Jan1907	199.5
5572	03Jan1907	199.5
5573	04Jan1907	507.3
5574	05Jan1907	279.3
5575	06Jan1907	233.7
5576	07Jan1907	193.8
5577	08Jan1907	199.5
5578	09Jan1907	193.8
5579	10Jan1907	176.7
5580	11Jan1907	159.6
5581	12Jan1907	153.9
5582	13Jan1907	153.9
5583	14Jan1907	165.3
5584	15Jan1907	159.6
5585	16Jan1907	153.9
5586	17Jan1907	148.2
5587	18Jan1907	142.5
5588	19Jan1907	136.8
5589	20Jan1907	131.1
5590	21Jan1907	131.1
5591	22Jan1907	131.1
5592	23Jan1907	142.5
5593	24Jan1907	148.2
5594	25Jan1907	199.5
5595	26Jan1907	256.5
5596	27Jan1907	228.0
5597	28Jan1907	1008.9
5598	29Jan1907	592.8
5599	30Jan1907	381.9
5600	31Jan1907	1675.8
5601	01Feb1907	2337.0
5602	02Feb1907	4446.0
5603	03Feb1907	2188.8
5604	04Feb1907	1846.8
5605	05Feb1907	1197.0
5606	06Feb1907	986.1
5607	07Feb1907	752.4
5608	08Feb1907	649.8
5609	09Feb1907	552.9
5610	10Feb1907	513.0
5611	11Feb1907	467.4
5612	12Feb1907	444.6
5613	13Feb1907	399.0
5614	14Feb1907	387.6
5615	15Feb1907	364.8
5616	16Feb1907	364.8
5617	17Feb1907	370.5
5618	18Feb1907	376.2
5619	19Feb1907	353.4
5620	20Feb1907	353.4
5621	21Feb1907	347.7
5622	22Feb1907	410.4
5623	23Feb1907	381.9
5624	24Feb1907	359.1
5625	25Feb1907	507.3
5626	26Feb1907	427.5
5627	27Feb1907	359.1
5628	28Feb1907	342.0
5629	01Mar1907	461.7
5630	02Mar1907	381.9
5631	03Mar1907	353.4
5632	04Mar1907	353.4
5633	05Mar1907	393.3
5634	06Mar1907	427.5
5635	07Mar1907	387.6
5636	08Mar1907	370.5
5637	09Mar1907	513.0
5638	10Mar1907	410.4
5639	11Mar1907	461.7
5640	12Mar1907	359.1
5641	13Mar1907	313.5
5642	14Mar1907	285.0
5643	15Mar1907	342.0
5644	16Mar1907	376.2
5645	17Mar1907	3192.0
5646	18Mar1907	4845.0
5647	19Mar1907	5700.0
5648	20Mar1907	3420.0
5649	21Mar1907	1539.0
5650	22Mar1907	798.0
5651	23Mar1907	940.5
5652	24Mar1907	627.0
5653	25Mar1907	564.3
5654	26Mar1907	507.3
5655	27Mar1907	478.8
5656	28Mar1907	456.0
5657	29Mar1907	438.9
5658	30Mar1907	427.5
5659	31Mar1907	456.0
5660	01Apr1907	524.4
5661	02Apr1907	638.4
5662	03Apr1907	570.0
5663	04Apr1907	541.5
5664	05Apr1907	558.6
5665	06Apr1907	570.0
5666	07Apr1907	558.6
5667	08Apr1907	547.2
5668	09Apr1907	604.2
5669	10Apr1907	684.0
5670	11Apr1907	769.5
5671	12Apr1907	860.7
5672	13Apr1907	940.5
5673	14Apr1907	1083.0
5674	15Apr1907	1179.9
5675	16Apr1907	912.0
5676	17Apr1907	820.8
5677	18Apr1907	855.0
5678	19Apr1907	912.0
5679	20Apr1907	889.2
5680	21Apr1907	877.8
5681	22Apr1907	855.0
5682	23Apr1907	826.5
5683	24Apr1907	826.5
5684	25Apr1907	826.5
5685	26Apr1907	758.1
5686	27Apr1907	684.0
5687	28Apr1907	644.1
5688	29Apr1907	604.2
5689	30Apr1907	558.6
5690	01May1907	524.4
5691	02May1907	524.4
5692	03May1907	484.5
5693	04May1907	467.4
5694	05May1907	438.9
5695	06May1907	427.5
5696	07May1907	416.1
5697	08May1907	416.1
5698	09May1907	438.9
5699	10May1907	450.3
5700	11May1907	490.2
5701	12May1907	456.0
5702	13May1907	433.2
5703	14May1907	444.6
5704	15May1907	495.9
5705	16May1907	507.3
5706	17May1907	587.1
5707	18May1907	649.8
5708	19May1907	701.1
5709	20May1907	649.8
5710	21May1907	587.1
5711	22May1907	535.8
5712	23May1907	438.9
5713	24May1907	524.4
5714	25May1907	507.3
5715	26May1907	490.2
5716	27May1907	484.5
5717	28May1907	444.6
5718	29May1907	484.5
5719	30May1907	478.8
5720	31May1907	490.2
5721	01Jun1907	501.6
5722	02Jun1907	609.9
5723	03Jun1907	495.9
5724	04Jun1907	501.6
5725	05Jun1907	495.9
5726	06Jun1907	518.7
5727	07Jun1907	490.2
5728	08Jun1907	444.6
5729	09Jun1907	404.7
5730	10Jun1907	353.4
5731	11Jun1907	592.8
5732	12Jun1907	444.6
5733	13Jun1907	359.1
5734	14Jun1907	307.8
5735	15Jun1907	279.3
