A		DEER C
B		SMARTSVILLE CA
C		FLOW-UNREG
E		
F		CALC-NONEG
Units		CFS
Type		PER-AVER
289	16Jul2006	0
290	17Jul2006	0
291	18Jul2006	0
292	19Jul2006	0
293	20Jul2006	0
294	21Jul2006	0
295	22Jul2006	0
296	23Jul2006	0
297	24Jul2006	0
298	25Jul2006	0
299	26Jul2006	0
300	27Jul2006	0
301	28Jul2006	0
302	29Jul2006	0
303	30Jul2006	0
304	31Jul2006	0
305	01Aug2006	0
306	02Aug2006	0
307	03Aug2006	0
308	04Aug2006	0
309	05Aug2006	0
310	06Aug2006	0
311	07Aug2006	0
312	08Aug2006	0
313	09Aug2006	0
314	10Aug2006	0
315	11Aug2006	0
316	12Aug2006	0
317	13Aug2006	0
318	14Aug2006	0
319	15Aug2006	0
320	16Aug2006	0
321	17Aug2006	0
322	18Aug2006	0
323	19Aug2006	0
324	20Aug2006	0
325	21Aug2006	0
326	22Aug2006	0
327	23Aug2006	0
328	24Aug2006	0
329	25Aug2006	0
330	26Aug2006	0
331	27Aug2006	0
332	28Aug2006	0
333	29Aug2006	0
334	30Aug2006	0
335	31Aug2006	0
336	01Sep2006	0
337	02Sep2006	0
338	03Sep2006	0
339	04Sep2006	0
340	05Sep2006	0
341	06Sep2006	0
342	07Sep2006	0
343	08Sep2006	0
344	09Sep2006	0
345	10Sep2006	0
346	11Sep2006	0
347	12Sep2006	0
348	13Sep2006	0
349	14Sep2006	0
350	15Sep2006	0
351	16Sep2006	0
352	17Sep2006	0
353	18Sep2006	0
354	19Sep2006	0
355	20Sep2006	0
356	21Sep2006	0
357	22Sep2006	0
358	23Sep2006	0
359	24Sep2006	0
360	25Sep2006	0
361	26Sep2006	0
362	27Sep2006	0
363	28Sep2006	0
364	29Sep2006	0
365	30Sep2006	0
366	01Oct2006	0
367	02Oct2006	0
368	03Oct2006	0
369	04Oct2006	0
370	05Oct2006	0
371	06Oct2006	0
372	07Oct2006	0
373	08Oct2006	0
374	09Oct2006	0
375	10Oct2006	0
376	11Oct2006	0
377	12Oct2006	0
378	13Oct2006	0
379	14Oct2006	0
380	15Oct2006	29
381	16Oct2006	26
382	17Oct2006	27
383	18Oct2006	19
384	19Oct2006	23
385	20Oct2006	14
386	21Oct2006	17
387	22Oct2006	18
388	23Oct2006	15
389	24Oct2006	8
390	25Oct2006	13
391	26Oct2006	13
392	27Oct2006	12
393	28Oct2006	11
394	29Oct2006	15
395	30Oct2006	16
396	31Oct2006	11
397	01Nov2006	69
398	02Nov2006	30
399	03Nov2006	62
400	04Nov2006	35
401	05Nov2006	28
402	06Nov2006	19
403	07Nov2006	39
404	08Nov2006	21
405	09Nov2006	23
406	10Nov2006	40
407	11Nov2006	29
408	12Nov2006	80
409	13Nov2006	56
410	14Nov2006	45
411	15Nov2006	44
412	16Nov2006	29
413	17Nov2006	33
414	18Nov2006	27
415	19Nov2006	26
416	20Nov2006	31
417	21Nov2006	29
418	22Nov2006	28
419	23Nov2006	26
420	24Nov2006	25
421	25Nov2006	49
422	26Nov2006	61
423	27Nov2006	39
424	28Nov2006	30
425	29Nov2006	16
426	30Nov2006	15
427	01Dec2006	15
428	02Dec2006	9
429	03Dec2006	15
430	04Dec2006	34
431	05Dec2006	33
432	06Dec2006	33
433	07Dec2006	28
434	08Dec2006	88
435	09Dec2006	87
436	10Dec2006	182
437	11Dec2006	134
438	12Dec2006	196
439	13Dec2006	247
440	14Dec2006	150
441	15Dec2006	95
442	16Dec2006	83
443	17Dec2006	55
444	18Dec2006	47
445	19Dec2006	38
446	20Dec2006	115
447	21Dec2006	96
448	22Dec2006	225
449	23Dec2006	81
450	24Dec2006	62
451	25Dec2006	101
452	26Dec2006	106
453	27Dec2006	339
454	28Dec2006	156
455	29Dec2006	79
456	30Dec2006	61
457	31Dec2006	56
458	01Jan2007	50
459	02Jan2007	82
460	03Jan2007	138
461	04Jan2007	107
462	05Jan2007	93
463	06Jan2007	70
464	07Jan2007	62
465	08Jan2007	59
466	09Jan2007	52
467	10Jan2007	47
468	11Jan2007	42
469	12Jan2007	44
470	13Jan2007	32
471	14Jan2007	33
472	15Jan2007	30
473	16Jan2007	26
474	17Jan2007	36
475	18Jan2007	31
476	19Jan2007	34
477	20Jan2007	32
478	21Jan2007	37
479	22Jan2007	36
480	23Jan2007	32
481	24Jan2007	36
482	25Jan2007	34
483	26Jan2007	36
484	27Jan2007	30
485	28Jan2007	35
486	29Jan2007	29
487	30Jan2007	34
488	31Jan2007	39
489	01Feb2007	31
490	02Feb2007	35
491	03Feb2007	35
492	04Feb2007	34
493	05Feb2007	32
494	06Feb2007	51
495	07Feb2007	89
496	08Feb2007	291
497	09Feb2007	900
498	10Feb2007	1579
499	11Feb2007	1371
500	12Feb2007	341
501	13Feb2007	256
502	14Feb2007	169
503	15Feb2007	132
504	16Feb2007	117
505	17Feb2007	101
506	18Feb2007	103
507	19Feb2007	84
508	20Feb2007	80
509	21Feb2007	135
510	22Feb2007	161
511	23Feb2007	189
512	24Feb2007	216
513	25Feb2007	752
514	26Feb2007	599
515	27Feb2007	444
516	28Feb2007	301
517	01Mar2007	220
518	02Mar2007	166
519	03Mar2007	148
520	04Mar2007	134
521	05Mar2007	126
522	06Mar2007	129
523	07Mar2007	137
524	08Mar2007	134
525	09Mar2007	132
526	10Mar2007	144
527	11Mar2007	140
528	12Mar2007	147
529	13Mar2007	156
530	14Mar2007	164
531	15Mar2007	153
532	16Mar2007	147
533	17Mar2007	140
534	18Mar2007	133
535	19Mar2007	135
536	20Mar2007	114
537	21Mar2007	114
538	22Mar2007	108
539	23Mar2007	103
540	24Mar2007	100
541	25Mar2007	130
542	26Mar2007	90
543	27Mar2007	92
544	28Mar2007	56
545	29Mar2007	35
546	30Mar2007	58
547	31Mar2007	69
548	01Apr2007	61
549	02Apr2007	58
550	03Apr2007	52
551	04Apr2007	42
552	05Apr2007	45
553	06Apr2007	39
554	07Apr2007	25
555	08Apr2007	5
556	09Apr2007	3
557	10Apr2007	26
558	11Apr2007	5
559	12Apr2007	1
560	13Apr2007	18
561	14Apr2007	0
562	15Apr2007	1
563	16Apr2007	0
564	17Apr2007	0
565	18Apr2007	0
566	19Apr2007	0
567	20Apr2007	28
568	21Apr2007	158
569	22Apr2007	272
570	23Apr2007	148
571	24Apr2007	69
572	25Apr2007	41
573	26Apr2007	22
574	27Apr2007	17
575	28Apr2007	35
576	29Apr2007	28
577	30Apr2007	16
578	01May2007	36
579	02May2007	43
580	03May2007	55
581	04May2007	51
582	05May2007	43
583	06May2007	32
584	07May2007	37
585	08May2007	30
586	09May2007	27
587	10May2007	15
588	11May2007	9
589	12May2007	0
590	13May2007	0
591	14May2007	0
592	15May2007	0
593	16May2007	0
594	17May2007	0
595	18May2007	0
596	19May2007	0
597	20May2007	0
598	21May2007	0
599	22May2007	0
600	23May2007	0
601	24May2007	0
602	25May2007	0
603	26May2007	0
604	27May2007	0
605	28May2007	0
606	29May2007	0
607	30May2007	0
608	31May2007	0
609	01Jun2007	0
610	02Jun2007	0
611	03Jun2007	0
612	04Jun2007	0
613	05Jun2007	0
614	06Jun2007	0
615	07Jun2007	11
616	08Jun2007	0
617	09Jun2007	0
618	10Jun2007	0
619	11Jun2007	0
620	12Jun2007	0
621	13Jun2007	0
622	14Jun2007	0
623	15Jun2007	0
624	16Jun2007	0
625	17Jun2007	0
626	18Jun2007	0
627	19Jun2007	0
628	20Jun2007	0
629	21Jun2007	0
630	22Jun2007	0
631	23Jun2007	0
632	24Jun2007	0
633	25Jun2007	0
634	26Jun2007	0
635	27Jun2007	0
636	28Jun2007	0
637	29Jun2007	0
638	30Jun2007	0
639	01Jul2007	0
640	02Jul2007	0
641	03Jul2007	0
642	04Jul2007	0
643	05Jul2007	0
644	06Jul2007	0
645	07Jul2007	0
646	08Jul2007	0
647	09Jul2007	0
648	10Jul2007	0
649	11Jul2007	0
650	12Jul2007	0
651	13Jul2007	0
652	14Jul2007	0
653	15Jul2007	0
654	16Jul2007	0
655	17Jul2007	0
656	18Jul2007	0
657	19Jul2007	0
658	20Jul2007	0
659	21Jul2007	0
660	22Jul2007	0
661	23Jul2007	0
662	24Jul2007	0
663	25Jul2007	0
664	26Jul2007	0
665	27Jul2007	0
666	28Jul2007	0
667	29Jul2007	0
668	30Jul2007	0
669	31Jul2007	0
670	01Aug2007	0
671	02Aug2007	0
672	03Aug2007	0
673	04Aug2007	0
674	05Aug2007	0
675	06Aug2007	0
676	07Aug2007	0
677	08Aug2007	0
678	09Aug2007	0
679	10Aug2007	0
680	11Aug2007	0
681	12Aug2007	0
682	13Aug2007	0
683	14Aug2007	0
684	15Aug2007	0
685	16Aug2007	0
686	17Aug2007	0
687	18Aug2007	0
688	19Aug2007	0
689	20Aug2007	0
690	21Aug2007	0
691	22Aug2007	0
692	23Aug2007	0
693	24Aug2007	0
694	25Aug2007	0
695	26Aug2007	0
696	27Aug2007	0
697	28Aug2007	0
698	29Aug2007	0
699	30Aug2007	0
700	31Aug2007	0
701	01Sep2007	0
702	02Sep2007	0
703	03Sep2007	0
704	04Sep2007	0
705	05Sep2007	0
706	06Sep2007	0
707	07Sep2007	0
708	08Sep2007	0
709	09Sep2007	0
710	10Sep2007	0
711	11Sep2007	0
712	12Sep2007	0
713	13Sep2007	0
714	14Sep2007	0
715	15Sep2007	0
716	16Sep2007	0
717	17Sep2007	0
718	18Sep2007	0
719	19Sep2007	0
720	20Sep2007	0
721	21Sep2007	0
722	22Sep2007	0
723	23Sep2007	0
724	24Sep2007	0
725	25Sep2007	0
726	26Sep2007	0
727	27Sep2007	0
728	28Sep2007	0
