A		DEER C
B		SMARTSVILLE CA
C		FLOW-UNREG
E		
F		CALC-NONEG
Units		CFS
Type		PER-AVER
1215	27Jan2009	60
1216	28Jan2009	51
1217	29Jan2009	47
1218	30Jan2009	52
1219	31Jan2009	47
1220	01Feb2009	46
1221	02Feb2009	56
1222	03Feb2009	56
1223	04Feb2009	59
1224	05Feb2009	71
1225	06Feb2009	59
1226	07Feb2009	72
1227	08Feb2009	69
1228	09Feb2009	77
1229	10Feb2009	82
1230	11Feb2009	76
1231	12Feb2009	134
1232	13Feb2009	185
1233	14Feb2009	192
1234	15Feb2009	164
1235	16Feb2009	398
1236	17Feb2009	588
1237	18Feb2009	451
1238	19Feb2009	177
1239	20Feb2009	119
1240	21Feb2009	306
1241	22Feb2009	672
1242	23Feb2009	1359
1243	24Feb2009	691
1244	25Feb2009	401
1245	26Feb2009	407
1246	27Feb2009	280
1247	28Feb2009	266
1248	01Mar2009	572
1249	02Mar2009	1765
1250	03Mar2009	1415
1251	04Mar2009	1138
1252	05Mar2009	427
1253	06Mar2009	284
1254	07Mar2009	234
1255	08Mar2009	225
1256	09Mar2009	186
1257	10Mar2009	170
1258	11Mar2009	173
1259	12Mar2009	156
1260	13Mar2009	156
1261	14Mar2009	175
1262	15Mar2009	193
1263	16Mar2009	183
1264	17Mar2009	191
1265	18Mar2009	177
1266	19Mar2009	172
1267	20Mar2009	175
1268	21Mar2009	183
1269	22Mar2009	157
1270	23Mar2009	176
1271	24Mar2009	172
1272	25Mar2009	165
1273	26Mar2009	170
1274	27Mar2009	161
1275	28Mar2009	149
1276	29Mar2009	137
1277	30Mar2009	136
1278	31Mar2009	131
1279	01Apr2009	129
1280	02Apr2009	125
1281	03Apr2009	114
1282	04Apr2009	86
1283	05Apr2009	44
1284	06Apr2009	51
1285	07Apr2009	67
1286	08Apr2009	81
1287	09Apr2009	64
1288	10Apr2009	70
1289	11Apr2009	67
1290	12Apr2009	39
1291	13Apr2009	14
1292	14Apr2009	8
1293	15Apr2009	6
1294	16Apr2009	7
1295	17Apr2009	0
1296	18Apr2009	0
1297	19Apr2009	0
1298	20Apr2009	0
1299	21Apr2009	0
1300	22Apr2009	0
1301	23Apr2009	0
1302	24Apr2009	0
1303	25Apr2009	0
1304	26Apr2009	11
1305	27Apr2009	0
1306	28Apr2009	14
1307	29Apr2009	6
1308	30Apr2009	96
1309	01May2009	85
1310	02May2009	337
1311	03May2009	451
1312	04May2009	207
1313	05May2009	985
1314	06May2009	391
1315	07May2009	274
1316	08May2009	209
1317	09May2009	174
1318	10May2009	148
1319	11May2009	125
1320	12May2009	108
1321	13May2009	91
1322	14May2009	81
1323	15May2009	75
1324	16May2009	61
1325	17May2009	71
1326	18May2009	54
1327	19May2009	33
1328	20May2009	55
1329	21May2009	45
1330	22May2009	39
1331	23May2009	15
1332	24May2009	0
1333	25May2009	0
1334	26May2009	13
1335	27May2009	15
1336	28May2009	9
1337	29May2009	0
1338	30May2009	4
1339	31May2009	4
1340	01Jun2009	0
1341	02Jun2009	0
1342	03Jun2009	14
1343	04Jun2009	28
1344	05Jun2009	24
1345	06Jun2009	15
1346	07Jun2009	7
1347	08Jun2009	0
1348	09Jun2009	0
1349	10Jun2009	0
1350	11Jun2009	0
1351	12Jun2009	0
1352	13Jun2009	0
1353	14Jun2009	0
1354	15Jun2009	0
1355	16Jun2009	0
1356	17Jun2009	0
1357	18Jun2009	0
1358	19Jun2009	0
1359	20Jun2009	0
1360	21Jun2009	0
1361	22Jun2009	0
1362	23Jun2009	0
1363	24Jun2009	0
1364	25Jun2009	0
1365	26Jun2009	0
1366	27Jun2009	0
1367	28Jun2009	0
1368	29Jun2009	0
1369	30Jun2009	0
1370	01Jul2009	0
1371	02Jul2009	0
1372	03Jul2009	0
1373	04Jul2009	0
1374	05Jul2009	0
1375	06Jul2009	0
1376	07Jul2009	0
1377	08Jul2009	0
1378	09Jul2009	0
1379	10Jul2009	0
1380	11Jul2009	0
1381	12Jul2009	0
1382	13Jul2009	0
1383	14Jul2009	0
1384	15Jul2009	0
1385	16Jul2009	0
1386	17Jul2009	0
1387	18Jul2009	0
1388	19Jul2009	0
1389	20Jul2009	0
1390	21Jul2009	0
1391	22Jul2009	0
1392	23Jul2009	0
1393	24Jul2009	0
1394	25Jul2009	0
1395	26Jul2009	0
1396	27Jul2009	0
1397	28Jul2009	0
1398	29Jul2009	0
1399	30Jul2009	0
1400	31Jul2009	0
1401	01Aug2009	0
1402	02Aug2009	0
1403	03Aug2009	0
1404	04Aug2009	0
1405	05Aug2009	0
1406	06Aug2009	0
1407	07Aug2009	0
1408	08Aug2009	0
1409	09Aug2009	0
1410	10Aug2009	0
1411	11Aug2009	0
1412	12Aug2009	0
1413	13Aug2009	0
1414	14Aug2009	0
1415	15Aug2009	0
1416	16Aug2009	0
1417	17Aug2009	0
1418	18Aug2009	0
1419	19Aug2009	0
1420	20Aug2009	0
1421	21Aug2009	0
1422	22Aug2009	0
1423	23Aug2009	0
1424	24Aug2009	0
1425	25Aug2009	0
1426	26Aug2009	0
1427	27Aug2009	0
1428	28Aug2009	0
1429	29Aug2009	0
1430	30Aug2009	0
1431	31Aug2009	0
1432	01Sep2009	0
1433	02Sep2009	0
1434	03Sep2009	0
1435	04Sep2009	0
1436	05Sep2009	0
1437	06Sep2009	0
1438	07Sep2009	0
1439	08Sep2009	0
1440	09Sep2009	0
1441	10Sep2009	0
1442	11Sep2009	0
1443	12Sep2009	0
1444	13Sep2009	0
1445	14Sep2009	0
1446	15Sep2009	0
1447	16Sep2009	0
1448	17Sep2009	0
1449	18Sep2009	0
1450	19Sep2009	0
1451	20Sep2009	0
1452	21Sep2009	0
1453	22Sep2009	0
1454	23Sep2009	0
1455	24Sep2009	0
1456	25Sep2009	0
1457	26Sep2009	0
1458	27Sep2009	0
1459	28Sep2009	0
1460	29Sep2009	0
1461	30Sep2009	0
1462	01Oct2009	0
1463	02Oct2009	0
1464	03Oct2009	0
1465	04Oct2009	0
1466	05Oct2009	0
1467	06Oct2009	0
1468	07Oct2009	0
1469	08Oct2009	0
1470	09Oct2009	0
1471	10Oct2009	0
1472	11Oct2009	0
1473	12Oct2009	56
1474	13Oct2009	78
1475	14Oct2009	101
1476	15Oct2009	58
1477	16Oct2009	39
1478	17Oct2009	33
1479	18Oct2009	32
1480	19Oct2009	26
1481	20Oct2009	27
1482	21Oct2009	33
1483	22Oct2009	31
1484	23Oct2009	31
1485	24Oct2009	31
1486	25Oct2009	31
1487	26Oct2009	30
1488	27Oct2009	25
1489	28Oct2009	21
1490	29Oct2009	30
1491	30Oct2009	33
1492	31Oct2009	30
1493	01Nov2009	33
1494	02Nov2009	22
1495	03Nov2009	16
1496	04Nov2009	18
1497	05Nov2009	22
1498	06Nov2009	19
1499	07Nov2009	19
1500	08Nov2009	16
1501	09Nov2009	23
1502	10Nov2009	19
1503	11Nov2009	25
1504	12Nov2009	20
1505	13Nov2009	16
1506	14Nov2009	16
1507	15Nov2009	16
1508	16Nov2009	23
1509	17Nov2009	13
1510	18Nov2009	12
1511	19Nov2009	33
1512	20Nov2009	9
1513	21Nov2009	24
1514	22Nov2009	9
1515	23Nov2009	12
1516	24Nov2009	12
1517	25Nov2009	14
1518	26Nov2009	29
1519	27Nov2009	13
1520	28Nov2009	18
1521	29Nov2009	22
1522	30Nov2009	14
1523	01Dec2009	18
1524	02Dec2009	16
1525	03Dec2009	15
1526	04Dec2009	15
1527	05Dec2009	25
1528	06Dec2009	34
1529	07Dec2009	11
1530	08Dec2009	23
1531	09Dec2009	23
1532	10Dec2009	86
1533	11Dec2009	151
1534	12Dec2009	271
1535	13Dec2009	341
1536	14Dec2009	153
1537	15Dec2009	73
1538	16Dec2009	51
1539	17Dec2009	45
1540	18Dec2009	34
1541	19Dec2009	37
1542	20Dec2009	58
1543	21Dec2009	38
1544	22Dec2009	50
1545	23Dec2009	43
1546	24Dec2009	32
1547	25Dec2009	32
1548	26Dec2009	50
1549	27Dec2009	39
1550	28Dec2009	46
1551	29Dec2009	73
1552	30Dec2009	60
1553	31Dec2009	70
1554	01Jan2010	52
1555	02Jan2010	50
1556	03Jan2010	35
1557	04Jan2010	34
1558	05Jan2010	33
1559	06Jan2010	35
1560	07Jan2010	31
1561	08Jan2010	31
1562	09Jan2010	31
1563	10Jan2010	36
1564	11Jan2010	82
1565	12Jan2010	107
1566	13Jan2010	200
1567	14Jan2010	96
1568	15Jan2010	60
1569	16Jan2010	101
1570	17Jan2010	232
1571	18Jan2010	853
1572	19Jan2010	891
1573	20Jan2010	1132
1574	21Jan2010	561
1575	22Jan2010	382
1576	23Jan2010	274
1577	24Jan2010	233
1578	25Jan2010	278
1579	26Jan2010	356
1580	27Jan2010	193
1581	28Jan2010	144
1582	29Jan2010	153
1583	30Jan2010	142
1584	31Jan2010	117
1585	01Feb2010	103
1586	02Feb2010	103
1587	03Feb2010	120
1588	04Feb2010	159
1589	05Feb2010	229
1590	06Feb2010	199
1591	07Feb2010	183
1592	08Feb2010	164
1593	09Feb2010	223
1594	10Feb2010	170
1595	11Feb2010	129
1596	12Feb2010	112
1597	13Feb2010	102
1598	14Feb2010	104
1599	15Feb2010	94
1600	16Feb2010	92
1601	17Feb2010	97
1602	18Feb2010	92
1603	19Feb2010	106
1604	20Feb2010	112
1605	21Feb2010	94
1606	22Feb2010	126
1607	23Feb2010	222
1608	24Feb2010	379
1609	25Feb2010	285
1610	26Feb2010	321
1611	27Feb2010	594
1612	28Feb2010	288
1613	01Mar2010	263
1614	02Mar2010	258
1615	03Mar2010	438
1616	04Mar2010	318
1617	05Mar2010	222
1618	06Mar2010	198
1619	07Mar2010	177
1620	08Mar2010	157
1621	09Mar2010	153
1622	10Mar2010	138
1623	11Mar2010	217
1624	12Mar2010	238
1625	13Mar2010	314
1626	14Mar2010	188
1627	15Mar2010	169
1628	16Mar2010	158
1629	17Mar2010	127
1630	18Mar2010	116
1631	19Mar2010	110
1632	20Mar2010	127
1633	21Mar2010	114
1634	22Mar2010	72
1635	23Mar2010	32
1636	24Mar2010	93
1637	25Mar2010	97
1638	26Mar2010	89
1639	27Mar2010	83
1640	28Mar2010	60
1641	29Mar2010	100
1642	30Mar2010	125
1643	31Mar2010	131
1644	01Apr2010	198
1645	02Apr2010	99
1646	03Apr2010	152
1647	04Apr2010	126
1648	05Apr2010	280
1649	06Apr2010	167
1650	07Apr2010	157
1651	08Apr2010	107
1652	09Apr2010	72
1653	10Apr2010	80
1654	11Apr2010	107
1655	12Apr2010	668
1656	13Apr2010	457
1657	14Apr2010	245
1658	15Apr2010	188
1659	16Apr2010	150
1660	17Apr2010	129
1661	18Apr2010	132
1662	19Apr2010	148
1663	20Apr2010	234
1664	21Apr2010	256
1665	22Apr2010	223
1666	23Apr2010	171
1667	24Apr2010	153
1668	25Apr2010	142
1669	26Apr2010	130
1670	27Apr2010	362
1671	28Apr2010	524
1672	29Apr2010	645
1673	30Apr2010	353
1674	01May2010	268
1675	02May2010	223
1676	03May2010	195
1677	04May2010	174
1678	05May2010	155
1679	06May2010	132
1680	07May2010	118
1681	08May2010	109
1682	09May2010	105
1683	10May2010	155
1684	11May2010	146
1685	12May2010	112
1686	13May2010	89
1687	14May2010	80
1688	15May2010	88
1689	16May2010	91
1690	17May2010	50
1691	18May2010	54
1692	19May2010	48
1693	20May2010	43
1694	21May2010	46
1695	22May2010	60
1696	23May2010	60
1697	24May2010	76
1698	25May2010	58
1699	26May2010	73
1700	27May2010	114
1701	28May2010	133
1702	29May2010	99
1703	30May2010	90
1704	31May2010	85
1705	01Jun2010	74
1706	02Jun2010	70
1707	03Jun2010	78
1708	04Jun2010	63
1709	05Jun2010	57
1710	06Jun2010	59
1711	07Jun2010	63
1712	08Jun2010	41
1713	09Jun2010	11
1714	10Jun2010	3
1715	11Jun2010	20
1716	12Jun2010	20
1717	13Jun2010	27
1718	14Jun2010	15
1719	15Jun2010	0
1720	16Jun2010	0
1721	17Jun2010	0
1722	18Jun2010	0
1723	19Jun2010	0
1724	20Jun2010	0
1725	21Jun2010	0
1726	22Jun2010	0
1727	23Jun2010	0
1728	24Jun2010	0
1729	25Jun2010	0
1730	26Jun2010	0
1731	27Jun2010	0
1732	28Jun2010	0
1733	29Jun2010	0
1734	30Jun2010	0
1735	01Jul2010	0
1736	02Jul2010	0
1737	03Jul2010	0
1738	04Jul2010	0
1739	05Jul2010	0
1740	06Jul2010	0
1741	07Jul2010	0
1742	08Jul2010	0
1743	09Jul2010	0
1744	10Jul2010	0
1745	11Jul2010	0
1746	12Jul2010	0
1747	13Jul2010	0
1748	14Jul2010	0
1749	15Jul2010	0
1750	16Jul2010	0
1751	17Jul2010	0
1752	18Jul2010	0
1753	19Jul2010	0
1754	20Jul2010	0
1755	21Jul2010	0
1756	22Jul2010	0
1757	23Jul2010	0
1758	24Jul2010	0
1759	25Jul2010	0
1760	26Jul2010	0
1761	27Jul2010	0
1762	28Jul2010	0
1763	29Jul2010	0
1764	30Jul2010	0
1765	31Jul2010	0
1766	01Aug2010	0
1767	02Aug2010	0
1768	03Aug2010	0
1769	04Aug2010	0
1770	05Aug2010	0
1771	06Aug2010	0
1772	07Aug2010	0
1773	08Aug2010	0
1774	09Aug2010	0
1775	10Aug2010	0
1776	11Aug2010	0
1777	12Aug2010	0
1778	13Aug2010	0
1779	14Aug2010	0
1780	15Aug2010	0
1781	16Aug2010	0
1782	17Aug2010	0
1783	18Aug2010	0
1784	19Aug2010	0
1785	20Aug2010	0
1786	21Aug2010	0
1787	22Aug2010	0
1788	23Aug2010	0
1789	24Aug2010	0
1790	25Aug2010	0
1791	26Aug2010	0
1792	27Aug2010	0
1793	28Aug2010	0
1794	29Aug2010	0
1795	30Aug2010	0
1796	31Aug2010	0
1797	01Sep2010	0
1798	02Sep2010	0
1799	03Sep2010	0
1800	04Sep2010	0
1801	05Sep2010	0
1802	06Sep2010	0
1803	07Sep2010	0
1804	08Sep2010	0
1805	09Sep2010	0
1806	10Sep2010	0
1807	11Sep2010	0
1808	12Sep2010	0
1809	13Sep2010	0
1810	14Sep2010	0
1811	15Sep2010	0
1812	16Sep2010	0
1813	17Sep2010	0
1814	18Sep2010	0
1815	19Sep2010	0
1816	20Sep2010	0
1817	21Sep2010	0
1818	22Sep2010	0
1819	23Sep2010	0
1820	24Sep2010	0
1821	25Sep2010	0
1822	26Sep2010	0
1823	27Sep2010	0
1824	28Sep2010	0
1825	29Sep2010	0
1826	30Sep2010	0
1827	01Oct2010	0
1828	02Oct2010	0
1829	03Oct2010	0
1830	04Oct2010	0
1831	05Oct2010	0
1832	06Oct2010	0
1833	07Oct2010	0
1834	08Oct2010	0
1835	09Oct2010	0
1836	10Oct2010	0
1837	11Oct2010	0
1838	12Oct2010	0
1839	13Oct2010	0
1840	14Oct2010	0
1841	15Oct2010	18
1842	16Oct2010	26
1843	17Oct2010	25
1844	18Oct2010	32
1845	19Oct2010	29
1846	20Oct2010	28
1847	21Oct2010	17
1848	22Oct2010	65
1849	23Oct2010	351
1850	24Oct2010	731
1851	25Oct2010	279
1852	26Oct2010	59
1853	27Oct2010	41
1854	28Oct2010	34
1855	29Oct2010	48
1856	30Oct2010	34
1857	31Oct2010	36
1858	01Nov2010	33
1859	02Nov2010	35
1860	03Nov2010	41
1861	04Nov2010	30
1862	05Nov2010	33
1863	06Nov2010	131
1864	07Nov2010	124
1865	08Nov2010	141
1866	09Nov2010	73
1867	10Nov2010	56
1868	11Nov2010	46
1869	12Nov2010	35
1870	13Nov2010	46
1871	14Nov2010	36
1872	15Nov2010	42
1873	16Nov2010	40
1874	17Nov2010	40
1875	18Nov2010	57
1876	19Nov2010	106
1877	20Nov2010	248
1878	21Nov2010	144
1879	22Nov2010	209
1880	23Nov2010	78
1881	24Nov2010	57
1882	25Nov2010	53
1883	26Nov2010	90
1884	27Nov2010	57
1885	28Nov2010	50
1886	29Nov2010	48
1887	30Nov2010	42
1888	01Dec2010	66
1889	02Dec2010	88
1890	03Dec2010	79
1891	04Dec2010	114
1892	05Dec2010	267
1893	06Dec2010	536
1894	07Dec2010	299
1895	08Dec2010	219
1896	09Dec2010	278
1897	10Dec2010	232
1898	11Dec2010	183
1899	12Dec2010	141
1900	13Dec2010	288
1901	14Dec2010	399
1902	15Dec2010	392
1903	16Dec2010	219
1904	17Dec2010	985
1905	18Dec2010	3712
1906	19Dec2010	2575
1907	20Dec2010	943
1908	21Dec2010	608
1909	22Dec2010	558
1910	23Dec2010	417
1911	24Dec2010	374
1912	25Dec2010	421
1913	26Dec2010	687
1914	27Dec2010	491
1915	28Dec2010	794
1916	29Dec2010	1499
1917	30Dec2010	410
1918	31Dec2010	371
1919	01Jan2011	395
1920	02Jan2011	524
1921	03Jan2011	401
1922	04Jan2011	315
1923	05Jan2011	274
1924	06Jan2011	251
1925	07Jan2011	227
1926	08Jan2011	207
1927	09Jan2011	192
1928	10Jan2011	180
1929	11Jan2011	168
1930	12Jan2011	151
1931	13Jan2011	166
1932	14Jan2011	161
1933	15Jan2011	143
1934	16Jan2011	128
1935	17Jan2011	128
1936	18Jan2011	122
1937	19Jan2011	118
1938	20Jan2011	116
1939	21Jan2011	122
1940	22Jan2011	109
1941	23Jan2011	104
1942	24Jan2011	128
1943	25Jan2011	135
1944	26Jan2011	80
1945	27Jan2011	89
1946	28Jan2011	100
1947	29Jan2011	142
1948	30Jan2011	194
1949	31Jan2011	134
1950	01Feb2011	106
1951	02Feb2011	121
1952	03Feb2011	153
1953	04Feb2011	80
1954	05Feb2011	42
1955	06Feb2011	38
1956	07Feb2011	44
1957	08Feb2011	69
1958	09Feb2011	73
1959	10Feb2011	63
1960	11Feb2011	55
1961	12Feb2011	50
1962	13Feb2011	49
1963	14Feb2011	64
1964	15Feb2011	138
1965	16Feb2011	889
1966	17Feb2011	564
1967	18Feb2011	613
1968	19Feb2011	821
1969	20Feb2011	349
1970	21Feb2011	234
1971	22Feb2011	187
1972	23Feb2011	162
1973	24Feb2011	177
1974	25Feb2011	1830
1975	26Feb2011	476
1976	27Feb2011	271
1977	28Feb2011	209
1978	01Mar2011	188
1979	02Mar2011	383
1980	03Mar2011	591
1981	04Mar2011	432
1982	05Mar2011	329
1983	06Mar2011	719
1984	07Mar2011	680
1985	08Mar2011	476
1986	09Mar2011	404
1987	10Mar2011	390
1988	11Mar2011	393
1989	12Mar2011	363
1990	13Mar2011	348
1991	14Mar2011	908
1992	15Mar2011	2190
1993	16Mar2011	2450
1994	17Mar2011	1170
1995	18Mar2011	1090
1996	19Mar2011	1260
1997	20Mar2011	1500
1998	21Mar2011	943
1999	22Mar2011	757
2000	23Mar2011	784
2001	24Mar2011	1930
2002	25Mar2011	1390
2003	26Mar2011	1950
2004	27Mar2011	992
2005	28Mar2011	680
2006	29Mar2011	595
2007	30Mar2011	534
2008	31Mar2011	493
2009	01Apr2011	506
2010	02Apr2011	537
2011	03Apr2011	546
2012	04Apr2011	515
2013	05Apr2011	474
2014	06Apr2011	440
2015	07Apr2011	412
2016	08Apr2011	384
2017	09Apr2011	346
2018	10Apr2011	308
2019	11Apr2011	281
2020	12Apr2011	262
2021	13Apr2011	258
2022	14Apr2011	238
2023	15Apr2011	214
2024	16Apr2011	202
2025	17Apr2011	195
2026	18Apr2011	225
2027	19Apr2011	256
2028	20Apr2011	263
2029	21Apr2011	340
2030	22Apr2011	342
2031	23Apr2011	324
2032	24Apr2011	314
2033	25Apr2011	334
2034	26Apr2011	301
2035	27Apr2011	285
2036	28Apr2011	258
2037	29Apr2011	220
2038	30Apr2011	198
2039	01May2011	178
2040	02May2011	164
2041	03May2011	157
2042	04May2011	158
2043	05May2011	122
2044	06May2011	113
2045	07May2011	109
2046	08May2011	105
2047	09May2011	110
2048	10May2011	103
2049	11May2011	88
2050	12May2011	60
2051	13May2011	46
2052	14May2011	76
2053	15May2011	94
2054	16May2011	157
2055	17May2011	144
2056	18May2011	219
2057	19May2011	102
2058	20May2011	74
2059	21May2011	70
2060	22May2011	57
2061	23May2011	51
2062	24May2011	66
2063	25May2011	91
2064	26May2011	111
2065	27May2011	75
2066	28May2011	48
2067	29May2011	60
2068	30May2011	52
2069	31May2011	74
2070	01Jun2011	50
2071	02Jun2011	66
2072	03Jun2011	63
2073	04Jun2011	64
2074	05Jun2011	110
2075	06Jun2011	52
2076	07Jun2011	52
2077	08Jun2011	43
2078	09Jun2011	23
2079	10Jun2011	21
2080	11Jun2011	36
2081	12Jun2011	20
2082	13Jun2011	23
2083	14Jun2011	29
2084	15Jun2011	28
2085	16Jun2011	27
2086	17Jun2011	28
2087	18Jun2011	13
2088	19Jun2011	20
2089	20Jun2011	31
2090	21Jun2011	31
2091	22Jun2011	22
2092	23Jun2011	14
2093	24Jun2011	0
2094	25Jun2011	0
2095	26Jun2011	0
2096	27Jun2011	29
2097	28Jun2011	1
2098	29Jun2011	9
2099	30Jun2011	10
2100	01Jul2011	13
2101	02Jul2011	0
2102	03Jul2011	0
2103	04Jul2011	0
2104	05Jul2011	4
2105	06Jul2011	0
2106	07Jul2011	0
2107	08Jul2011	0
2108	09Jul2011	0
2109	10Jul2011	0
2110	11Jul2011	0
2111	12Jul2011	0
2112	13Jul2011	0
2113	14Jul2011	0
2114	15Jul2011	0
2115	16Jul2011	0
2116	17Jul2011	0
2117	18Jul2011	0
2118	19Jul2011	0
2119	20Jul2011	0
2120	21Jul2011	0
2121	22Jul2011	0
2122	23Jul2011	0
2123	24Jul2011	0
2124	25Jul2011	0
2125	26Jul2011	0
2126	27Jul2011	0
2127	28Jul2011	0
2128	29Jul2011	0
2129	30Jul2011	0
2130	31Jul2011	0
2131	01Aug2011	0
2132	02Aug2011	0
2133	03Aug2011	0
2134	04Aug2011	0
2135	05Aug2011	0
2136	06Aug2011	0
2137	07Aug2011	0
2138	08Aug2011	0
2139	09Aug2011	0
2140	10Aug2011	0
2141	11Aug2011	0
2142	12Aug2011	0
2143	13Aug2011	0
2144	14Aug2011	0
2145	15Aug2011	0
2146	16Aug2011	0
2147	17Aug2011	0
2148	18Aug2011	0
2149	19Aug2011	0
2150	20Aug2011	0
2151	21Aug2011	0
2152	22Aug2011	0
2153	23Aug2011	0
2154	24Aug2011	0
2155	25Aug2011	0
2156	26Aug2011	0
2157	27Aug2011	0
2158	28Aug2011	0
2159	29Aug2011	0
2160	30Aug2011	0
2161	31Aug2011	0
2162	01Sep2011	0
2163	02Sep2011	0
2164	03Sep2011	0
2165	04Sep2011	0
2166	05Sep2011	0
2167	06Sep2011	0
2168	07Sep2011	0
2169	08Sep2011	0
2170	09Sep2011	0
2171	10Sep2011	0
2172	11Sep2011	0
2173	12Sep2011	0
2174	13Sep2011	0
2175	14Sep2011	0
2176	15Sep2011	0
2177	16Sep2011	0
2178	17Sep2011	0
2179	18Sep2011	0
2180	19Sep2011	0
2181	20Sep2011	0
2182	21Sep2011	0
2183	22Sep2011	0
2184	23Sep2011	0
2185	24Sep2011	0
2186	25Sep2011	0
2187	26Sep2011	0
2188	27Sep2011	0
2189	28Sep2011	0
2190	29Sep2011	0
2191	30Sep2011	0
2192	01Oct2011	0
2193	02Oct2011	0
2194	03Oct2011	0
2195	04Oct2011	13
2196	05Oct2011	4
2197	06Oct2011	0
2198	07Oct2011	0
2199	08Oct2011	0
2200	09Oct2011	33
2201	10Oct2011	15
2202	11Oct2011	17
2203	12Oct2011	0
2204	13Oct2011	0
2205	14Oct2011	0
2206	15Oct2011	0
2207	16Oct2011	14
2208	17Oct2011	225
2209	18Oct2011	311
2210	19Oct2011	237
2211	20Oct2011	214
2212	21Oct2011	185
2213	22Oct2011	172
2214	23Oct2011	148
2215	24Oct2011	119
2216	25Oct2011	73
2217	26Oct2011	32
2218	27Oct2011	37
2219	28Oct2011	32
2220	29Oct2011	32
2221	30Oct2011	39
2222	31Oct2011	36
2223	01Nov2011	28
2224	02Nov2011	44
2225	03Nov2011	36
2226	04Nov2011	53
2227	05Nov2011	68
2228	06Nov2011	47
2229	07Nov2011	41
2230	08Nov2011	38
2231	09Nov2011	33
2232	10Nov2011	42
2233	11Nov2011	38
2234	12Nov2011	35
2235	13Nov2011	39
2236	14Nov2011	35
2237	15Nov2011	38
2238	16Nov2011	33
2239	17Nov2011	47
2240	18Nov2011	28
2241	19Nov2011	22
2242	20Nov2011	0
2243	21Nov2011	0
2244	22Nov2011	0
2245	23Nov2011	11
2246	24Nov2011	4
2247	25Nov2011	0
2248	26Nov2011	0
2249	27Nov2011	1
2250	28Nov2011	0
2251	29Nov2011	0
2252	30Nov2011	6
2253	01Dec2011	0
2254	02Dec2011	0
2255	03Dec2011	0
2256	04Dec2011	0
2257	05Dec2011	0
2258	06Dec2011	0
2259	07Dec2011	0
2260	08Dec2011	0
2261	09Dec2011	0
2262	10Dec2011	0
2263	11Dec2011	0
2264	12Dec2011	0
2265	13Dec2011	0
2266	14Dec2011	0
2267	15Dec2011	0
2268	16Dec2011	0
2269	17Dec2011	8
2270	18Dec2011	18
2271	19Dec2011	16
2272	20Dec2011	12
2273	21Dec2011	16
2274	22Dec2011	20
2275	23Dec2011	10
2276	24Dec2011	18
2277	25Dec2011	22
2278	26Dec2011	12
2279	27Dec2011	17
2280	28Dec2011	18
2281	29Dec2011	30
2282	30Dec2011	18
2283	31Dec2011	21
2284	01Jan2012	21
2285	02Jan2012	24
2286	03Jan2012	31
2287	04Jan2012	17
2288	05Jan2012	18
2289	06Jan2012	18
2290	07Jan2012	25
2291	08Jan2012	19
2292	09Jan2012	25
2293	10Jan2012	19
2294	11Jan2012	12
2295	12Jan2012	22
2296	13Jan2012	17
2297	14Jan2012	19
2298	15Jan2012	26
2299	16Jan2012	23
2300	17Jan2012	23
2301	18Jan2012	36
2302	19Jan2012	235
2303	20Jan2012	181
2304	21Jan2012	303
2305	22Jan2012	205
2306	23Jan2012	375
2307	24Jan2012	84
2308	25Jan2012	61
2309	26Jan2012	53
2310	27Jan2012	44
2311	28Jan2012	35
2312	29Jan2012	38
2313	30Jan2012	38
2314	31Jan2012	54
2315	01Feb2012	57
2316	02Feb2012	54
2317	03Feb2012	50
2318	04Feb2012	50
2319	05Feb2012	49
2320	06Feb2012	60
2321	07Feb2012	59
2322	08Feb2012	46
2323	09Feb2012	62
2324	10Feb2012	52
2325	11Feb2012	69
2326	12Feb2012	86
2327	13Feb2012	77
2328	14Feb2012	61
2329	15Feb2012	63
2330	16Feb2012	55
2331	17Feb2012	64
2332	18Feb2012	61
2333	19Feb2012	64
2334	20Feb2012	53
2335	21Feb2012	43
2336	22Feb2012	50
2337	23Feb2012	66
2338	24Feb2012	49
2339	25Feb2012	58
2340	26Feb2012	65
2341	27Feb2012	42
2342	28Feb2012	99
2343	29Feb2012	83
2344	01Mar2012	128
2345	02Mar2012	108
2346	03Mar2012	78
2347	04Mar2012	59
2348	05Mar2012	60
2349	06Mar2012	60
2350	07Mar2012	76
2351	08Mar2012	76
2352	09Mar2012	64
2353	10Mar2012	91
2354	11Mar2012	67
2355	12Mar2012	245
2356	13Mar2012	577
2357	14Mar2012	1675
2358	15Mar2012	1702
2359	16Mar2012	3742
2360	17Mar2012	1380
2361	18Mar2012	778
2362	19Mar2012	521
2363	20Mar2012	339
2364	21Mar2012	252
2365	22Mar2012	199
2366	23Mar2012	174
2367	24Mar2012	165
2368	25Mar2012	173
2369	26Mar2012	153
2370	27Mar2012	146
2371	28Mar2012	585
2372	29Mar2012	278
2373	30Mar2012	246
2374	31Mar2012	416
2375	01Apr2012	415
2376	02Apr2012	258
2377	03Apr2012	202
2378	04Apr2012	309
2379	05Apr2012	214
2380	06Apr2012	159
2381	07Apr2012	169
2382	08Apr2012	148
2383	09Apr2012	133
2384	10Apr2012	121
2385	11Apr2012	93
2386	12Apr2012	815
2387	13Apr2012	2020
2388	14Apr2012	542
